"module name","license","repository"
"bitbucket-url-to-object@0.3.0","MIT","https://github.com/zeke/bitbucket-url-to-object"
"github-url-to-object@4.0.6","MIT","https://github.com/zeke/github-url-to-object"
"is-url@1.2.4","MIT","https://github.com/segmentio/is-url"
"parse-bitbucket-url@0.3.0","MIT","https://github.com/codefresh-io/parse-bitbucket-url"
"selector-observer@2.1.6","MIT","https://github.com/josh/selector-observer"
"selector-set@1.1.5","MIT","https://github.com/josh/selector-set"
